user_id,timestamp,event_type,platform,app_name,duration
user_id 1,2026-04-01 14:55:03,scroll,web,instagram,545
user_id 1,2026-04-01 17:30:32,app_open,mobile,twitter,204
user_id 1,2026-04-01 13:18:34,app_open,mobile,youtube,288
user_id 1,2026-04-01 19:37:26,purchase,web,instagram,467
user_id 1,2026-04-01 23:13:34,scroll,web,amazon,259
user_id 1,2026-04-01 02:44:46,like,mobile,amazon,168
user_id 1,2026-04-01 21:22:52,like,web,amazon,62
user_id 1,2026-04-01 16:50:15,like,web,youtube,190
user_id 1,2026-04-01 03:49:16,like,mobile,whatsapp,322
user_id 1,2026-04-01 03:04:52,scroll,mobile,twitter,475
user_id 1,2026-04-01 11:08:51,app_open,web,whatsapp,18
user_id 1,2026-04-01 12:41:44,click,web,twitter,583
user_id 1,2026-04-02 06:06:32,scroll,web,youtube,78
user_id 1,2026-04-02 14:01:44,purchase,mobile,amazon,255
user_id 1,2026-04-02 15:01:38,scroll,web,instagram,567
user_id 1,2026-04-02 05:18:19,app_open,mobile,whatsapp,463
user_id 1,2026-04-02 13:17:56,purchase,mobile,whatsapp,177
user_id 1,2026-04-02 10:49:00,scroll,web,whatsapp,259
user_id 1,2026-04-02 13:14:19,app_open,web,instagram,95
user_id 1,2026-04-02 10:23:55,app_open,mobile,amazon,541
user_id 1,2026-04-02 23:47:36,app_open,web,whatsapp,357
user_id 1,2026-04-02 22:30:58,scroll,web,instagram,501
user_id 1,2026-04-02 20:54:04,like,mobile,instagram,426
user_id 1,2026-04-02 05:24:33,click,mobile,youtube,125
user_id 1,2026-04-02 08:29:31,like,mobile,twitter,557
user_id 1,2026-04-02 19:37:38,click,web,twitter,110
user_id 1,2026-04-02 07:35:41,purchase,mobile,amazon,434
user_id 1,2026-04-02 19:21:01,like,web,amazon,127
user_id 1,2026-04-03 04:31:31,like,mobile,twitter,124
user_id 1,2026-04-03 19:36:48,purchase,mobile,amazon,403
user_id 1,2026-04-03 20:10:08,scroll,web,amazon,501
user_id 1,2026-04-03 11:56:55,scroll,web,instagram,287
user_id 1,2026-04-03 23:35:53,like,mobile,twitter,99
user_id 1,2026-04-04 22:20:47,scroll,web,instagram,15
user_id 1,2026-04-04 00:30:51,app_open,mobile,whatsapp,272
user_id 1,2026-04-04 06:47:34,app_open,web,instagram,483
